Date,Fail Txs,AAVE,BAND,BTC,BUSD,COMP,CRV,DAI,DPI,ETH,INDEX,LINK,MKR,PERP,REN,RENBTC,SNX,STRK,SUSD,SUSHI,SXP,UMA,UNI,USDC,USDT,VAI,WBTC,WNXM,YFI
2021-04-01,0,0,0,0,23,24,0,24,0,24,0,24,0,0,0,0,0,0,0,0,0,0,24,24,24,0,24,0,0
2021-04-02,0,0,0,0,22,24,0,24,0,24,0,24,0,0,0,0,0,0,0,0,0,0,24,24,24,0,24,0,0
2021-04-03,0,0,0,0,21,24,0,22,0,24,0,24,0,0,0,0,0,0,0,0,0,0,24,23,23,0,24,0,0
2021-04-04,0,0,0,0,22,24,0,21,0,24,0,24,0,0,0,0,0,0,0,0,0,0,24,23,23,0,24,0,0
2021-04-05,0,0,0,0,20,24,0,22,0,24,0,24,0,0,0,0,0,0,0,0,0,0,24,23,23,0,24,0,0
2021-04-06,0,0,0,0,23,24,0,23,0,24,0,24,0,0,0,0,0,0,0,0,0,0,24,23,23,0,23,0,0
2021-04-07,0,0,0,0,22,24,0,23,0,24,0,24,0,0,0,0,0,0,0,0,0,0,24,24,24,0,24,0,0
2021-04-08,0,0,0,0,21,24,0,22,0,24,0,24,0,0,0,0,0,11,0,0,0,0,24,23,23,0,24,0,0
2021-04-09,0,0,0,0,23,24,0,22,0,24,0,24,0,0,0,0,0,21,0,0,0,0,24,22,22,0,23,0,0
2021-04-10,0,0,0,0,21,24,0,22,0,24,0,24,0,0,0,0,0,22,0,0,0,0,24,22,22,0,24,0,0
2021-04-11,0,0,0,0,22,24,0,22,0,24,0,24,0,0,0,0,0,21,0,0,0,0,24,23,23,0,23,0,0
2021-04-12,0,0,0,0,21,24,0,22,0,24,0,24,0,0,0,0,0,21,0,0,0,0,24,23,23,0,23,0,0
2021-04-13,0,0,0,0,22,24,0,22,0,24,0,24,0,0,0,0,0,22,0,0,0,0,24,24,24,0,24,0,0
2021-04-14,0,0,0,0,23,24,0,23,0,24,0,24,0,0,0,0,0,21,0,0,0,0,24,24,24,0,24,0,0
2021-04-15,0,0,0,0,22,24,0,21,0,24,0,24,0,0,0,0,0,22,0,0,0,0,24,22,22,0,24,0,0
2021-04-16,0,0,0,0,21,24,0,21,0,24,0,24,0,0,0,0,0,20,0,0,0,0,24,23,23,0,24,0,0
2021-04-17,0,0,0,0,21,24,0,21,0,24,0,24,0,0,0,0,0,22,0,0,0,0,24,24,24,0,24,0,0
2021-04-18,0,0,0,0,20,24,0,22,0,24,0,24,0,0,0,0,0,21,0,0,0,0,24,22,22,0,24,0,0
2021-04-19,0,0,0,0,23,24,0,22,0,24,0,24,0,0,0,0,0,22,0,0,0,0,24,24,24,0,24,0,0
2021-04-20,0,0,0,0,3,4,0,3,0,4,0,4,0,0,0,0,0,3,0,0,0,0,4,3,3,0,3,0,0
2021-04-21,0,12,13,12,14,14,12,14,12,15,12,14,13,12,12,12,12,14,12,12,12,12,15,14,14,13,14,13,12
2021-04-22,0,25,25,24,24,25,25,24,24,25,25,24,25,25,24,24,25,24,24,25,24,24,24,24,24,24,24,24,25
2021-04-23,0,25,26,24,24,28,26,24,25,26,25,25,30,25,26,24,25,24,35,25,24,25,26,24,24,24,24,26,25
2021-04-24,0,24,24,24,24,24,25,24,24,24,24,24,24,24,24,24,24,24,27,24,24,24,24,24,24,24,24,25,24
2021-04-25,0,24,24,24,24,24,23,24,24,24,25,24,24,24,24,24,24,24,24,24,24,26,24,24,24,24,24,24,24
2021-04-26,0,24,24,24,24,24,24,24,24,25,25,24,24,24,24,24,24,24,26,24,24,24,25,24,24,24,24,25,24
2021-04-27,0,24,24,24,24,24,24,24,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
2021-04-28,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24
2021-04-29,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
2021-04-30,4,24,24,24,24,24,24,24,24,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
